player,img_url
Elliot Anderson,https://fbref.com/req/202302030/images/headshots/de31038e_2022.jpg
Ryan Fraser,https://fbref.com/req/202302030/images/headshots/d56543a0_2022.jpg
Jamaal Lascelles,https://fbref.com/req/202302030/images/headshots/450ab6fc_2022.jpg
Martin Dúbravka,https://fbref.com/req/202302030/images/headshots/3a949a25_2022.jpg
Matt Ritchie,https://fbref.com/req/202302030/images/headshots/71ef519e_2022.jpg
Javier Manquillo,https://fbref.com/req/202302030/images/headshots/758dd7f0_2022.jpg
Jonjo Shelvey,https://fbref.com/req/202302030/images/headshots/3727dd3c_2022.jpg
Lewis Miley,
Jamal Lewis,https://fbref.com/req/202302030/images/headshots/efb9215a_2022.jpg
Emil Krafth,https://fbref.com/req/202302030/images/headshots/77cf6852_2022.jpg
Harrison Ashby,https://fbref.com/req/202302030/images/headshots/b391383a_2022.jpg
Karl Darlow,https://fbref.com/req/202302030/images/headshots/cde3309f_2022.jpg
Paul Dummett,https://fbref.com/req/202302030/images/headshots/3fe6bd8c_2022.jpg
Mark Gillespie,https://fbref.com/req/202302030/images/headshots/e32958b7_2022.jpg
Loris Karius,https://fbref.com/req/202302030/images/headshots/32e7ce92_2022.jpg
Alisson,https://fbref.com/req/202302030/images/headshots/7a2e46a8_2022.jpg
Mohamed Salah,https://fbref.com/req/202302030/images/headshots/e342ad68_2022.jpg
Trent Alexander-Arnold,https://fbref.com/req/202302030/images/headshots/cd1acf9d_2022.jpg
Virgil van Dijk,https://fbref.com/req/202302030/images/headshots/e06683ca_2022.jpg
Fabinho,https://fbref.com/req/202302030/images/headshots/7f3b388c_2022.jpg
Andrew Robertson,https://fbref.com/req/202302030/images/headshots/2e4f5f03_2022.jpg
Jordan Henderson,https://fbref.com/req/202302030/images/headshots/935e6b8f_2022.jpg
Darwin Núñez,https://fbref.com/req/202302030/images/headshots/4d77b365_2022.jpg
Harvey Elliott,https://fbref.com/req/202302030/images/headshots/c8387671_2022.jpg
Ibrahima Konaté,https://fbref.com/req/202302030/images/headshots/5ed9b537_2022.jpg
Cody Gakpo,https://fbref.com/req/202302030/images/headshots/1971591f_2022.jpg
Joe Gomez,https://fbref.com/req/202302030/images/headshots/7a11550b_2022.jpg
Thiago Alcántara,https://fbref.com/req/202302030/images/headshots/77e84962_2022.jpg
